"journal_clean","journal","field","publisher","publisher_type","business_model","institution","institution_type","website","apc_uros","scimago_rank","pci_partner","oa_source_name","oa_source_id","oa_works_count","oa_source_issn_l","oa_source_issn"
"Acarologia","Acarologia","organisms","INRAE","Non-profit","diamond_OA","Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement","Uni/Gov","https://www1.montpellier.inra.fr/CBGP/acarologia/index.php",0,0.72,"PCI friendly","Acarologia","https://openalex.org/S163259234",2368,"0044-586X","0044-586X | 2107-7207"
"Acta Amazonica","Acta Amazonica","ecology","Instituto Nacional de Pesquisas da Amazonia","Non-profit","diamond_OA","Instituto Nacional de Pesquisas da Amazonia","Uni/Gov","https://acta.inpa.gov.br/",0,0.306,"none","Acta Amazonica","https://openalex.org/S142246141",3190,"0044-5967","0044-5967 | 1809-4392"
"Acta Botanica Brasilica","Acta Botanica Brasilica","organisms","Sociedade Botanica do Brasil","Non-profit","OA","Sociedade Botanica do Brasil","Society","https://acta.botanica.org.br/",148,0.484,"none","Acta Botanica Brasilica","https://openalex.org/S165027284",2276,"0102-3306","0102-3306 | 1677-941X"
"Acta Chiropterologica","Acta Chiropterologica","organisms","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","subscription","Museum and Institute of Zoology / Polish Academy of Sciences","Museum","https://bioone.org/journals/acta-chiropterologica/",NA,0.474,"none","Acta Chiropterologica","https://openalex.org/S114405033",903,"1508-1109","1508-1109 | 1733-5329"
"Acta Herpetologica","Acta Herpetologica","organisms","Firenze University Press","University Press","diamond_OA","Societas Herpetologica Italica","Society","https://oaj.fupress.net/index.php/ah/index",0,0.456,"none","Acta Herpetologica","https://openalex.org/S103871702",294,"1827-9635","1827-9635 | 1827-9643"
"Acta Ornithologica","Acta Ornithologica","organisms","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","subscription","Museum and Institute of Zoology / Polish Academy of Sciences","Museum","https://bioone.org/journals/acta-ornithologica/",NA,0.289,"none","Acta Ornithologica","https://openalex.org/S45405298",988,"0001-6454","0001-6454 | 1734-8471"
"Adansonia","Adansonia","organisms","Museum National d'Histoire Naturelle","Non-profit","diamond_OA","Museum National d'Histoire Naturelle","Museum","https://sciencepress.mnhn.fr/fr/periodiques/adansonia",0,0.239,"PCI friendly","Adansonia","https://openalex.org/S119583998",633,"1280-8571","1280-8571 | 1639-4798"
"African Entomology","African Entomology","organisms","Khulisa Journals","Non-profit","OA","Entomological Society of Southern Africa","Society","https://www.africanentomology.com/",490,0.434,"none","African Entomology","https://openalex.org/S117207475",1423,"1021-3589","1021-3589 | 2224-8854"
"African Invertebrates","African Invertebrates","organisms","Pensoft","For-profit","OA","KwaZulu-Natal Museum","Museum","https://africaninvertebrates.pensoft.net/",300,0.253,"none","African Invertebrates","https://openalex.org/S48434751",797,"1681-5556","1681-5556 | 2305-2562"
"African Journal of Ecology","African Journal of Ecology","ecology","Wiley","For-profit","hybrid","The East African Wildlife Society","Society","https://onlinelibrary.wiley.com/journal/13652028",2780,0.479,"none","African Journal of Ecology","https://openalex.org/S14053799",3643,"0141-6707","0141-6707 | 1365-2028"
"African Journal of Range & Forage Science","African Journal of Range & Forage Science","ecology","Taylor & Francis","For-profit","hybrid","Grassland Society of Southern Africa","Society","https://www.tandfonline.com/journals/tarf20",2895,0.381,"none","African Journal of Range and Forage Science","https://openalex.org/S98916874",1128,"1022-0119","1022-0119 | 1727-9380"
"African Journal of Wildlife Research","African Journal of Wildlife Research","ecology","Southern African Wildlife Management Association","Non-profit","subscription","Southern African Wildlife Management Association","Society","https://sawma.co.za/scope-and-information/",400,0.31,"none","African Journal of Wildlife Research","https://openalex.org/S2764636758",820,"2410-7220","2410-7220 | 2410-8200"
"African Zoology","African Zoology","evolution/systematics","Taylor & Francis","For-profit","hybrid","Zoological Society of Southern Africa","Society","https://www.nisc.co.za/products/59/journals/african-zoology",955,0.335,"none","African Zoology","https://openalex.org/S5885750",1385,"1562-7020","1562-7020 | 2224-073X"
"Agronomy for Sustainable Development","Agronomy for Sustainable Development","ecology","Springer","For-profit","hybrid","INRAE","Uni/Gov","https://www.springer.com/journal/13593",2265,1.509,"PCI friendly","Agronomy for Sustainable Development","https://openalex.org/S17425584",1200,"1773-0155","1773-0155 | 1774-0746"
"Alpine Botany","Alpine Botany","organisms","Springer","For-profit","hybrid","Swiss Botanical Society","Society","https://www.springer.com/journal/35",3060,0.732,"none","Alpine Botany","https://openalex.org/S2505486193",204,"1664-221X","1664-221X | 1664-2201"
"Alpine Entomology","Alpine Entomology","organisms","Pensoft","For-profit","OA","Swiss Entomological Society","Society","https://alpineentomology.pensoft.net/",409,0.458,"none","Alpine Entomology","https://openalex.org/S4210217666",117,"2535-0889","2535-0889"
"Ambio","Ambio","ecology","Springer","For-profit","hybrid","Royal Swedish Academy of Sciences","Uni/Gov","https://www.springer.com/journal/13280",3190,1.77,"none","AMBIO","https://openalex.org/S46982553",4061,"0044-7447","0044-7447 | 1654-7209"
"American Fern Journal","American Fern Journal","organisms","American Fern Society","Non-profit","subscription","American Fern Society","Society","https://www.amerfernsoc.org/american-fern-journal",719,0.334,"none","American Fern Journal","https://openalex.org/S182829932",3429,"0002-8444","0002-8444 | 1938-422X"
"American Journal of Botany","American Journal of Botany","organisms","Wiley","For-profit","hybrid","Botanical Society of America","Society","https://bsapubs.onlinelibrary.wiley.com/journal/15372197",1800,1.213,"none","American Journal of Botany","https://openalex.org/S205086949",28010,"0002-9122","0002-9122 | 1537-2197"
"American Journal of Primatology","American Journal of Primatology","organisms","Wiley-Blackwell","For-profit","subscription","The American Society of Primatologists","Society","https://onlinelibrary.wiley.com/journal/10982345",NA,0.84,"none","American Journal of Primatology","https://openalex.org/S194752149",5103,"0275-2565","0275-2565 | 1098-2345"
"American Naturalist","American Naturalist","evolution/systematics","University of Chicago Press","University Press","hybrid","American Society of Naturalists","Society","https://www.journals.uchicago.edu/toc/an/current",2290,1.667,"none","The American Naturalist","https://openalex.org/S122176235",24389,"0003-0147","0003-0147 | 1537-5323"
"Amphibia-Reptilia","Amphibia-Reptilia","evolution/systematics","Brill","For-profit","hybrid","Societas Europaea Herpetologica","Society","https://brill.com/view/journals/amre/amre-overview.xml",2295,0.628,"none","Amphibia-Reptilia","https://openalex.org/S202303835",2366,"0173-5373","0173-5373 | 1568-5381"
"Anais da Academia Brasileira de Ciencias","Anais da Academia Brasileira de Ciencias","general","Academia Brasileira de Ciencias","Non-profit","subscription","The Brazilian Academy of Sciences (BAS)","non-profit","https://www.abc.org.br/en/publicacoes/anais-abc/",NA,0.378,"none",NA,NA,NA,NA,NA
"Anatomical Record","Anatomical Record","organisms","Wiley","For-profit","hybrid","American Association of Anatomists","Society","https://anatomypubs.onlinelibrary.wiley.com/journal/19328494",3150,0.608,"none","The Anatomical Record","https://openalex.org/S4210187571",13556,"0003-276X","0003-276X | 1097-0185"
"Animal","Animal","organisms","Elsevier","For-profit","OA","British Society of Animal Science /  European Association for Animal Production / INRAE","Society","https://bsas.org.uk/publications/animal",1400,0.834,"PCI friendly","Animal Behaviour","https://openalex.org/S157690423",16198,"0003-3472","0003-3472 | 1095-8282"
"Animal Behaviour","Animal Behaviour","ecology","Elsevier","For-profit","hybrid","Association for the Study of Animal Behaviour","Society","https://www.journals.elsevier.com/animal-behaviour",2740,1.068,"none","Animal Behaviour","https://openalex.org/S157690423",16198,"0003-3472","0003-3472 | 1095-8282"
"Animal Biodiversity and Conservation","Animal Biodiversity and Conservation","evolution/systematics","Museu de Ciencies Naturals de Barcelona","Non-profit","diamond_OA","Museu de Ciencies Naturals de Barcelona","Museum","http://abc.museucienciesjournals.cat/about/?lang=en",0,0.356,"none","Animal Biodiversity and Conservation","https://openalex.org/S2486232989",566,"1578-665X","1578-665X | 2014-928X"
"Animal Conservation","Animal Conservation","ecology","Wiley","For-profit","hybrid","Zoological Society of London","Society","https://zslpublications.onlinelibrary.wiley.com/journal/14691795",3550,1.213,"none","Animal Conservation","https://openalex.org/S144146645",2057,"1367-9430","1367-9430 | 1469-1795"
"Annales Botanici Fennici","Annales Botanici Fennici","evolution/systematics","BioOne","Non-profit","hybrid","Finnish Zoological and Botanical Publishing Board","Uni/Gov","http://www.sekj.org/AnnBot.html",600,0.307,"none","Annales Botanici Fennici","https://openalex.org/S110937496",1220,"0003-3847","0003-3847 | 1797-2442"
"Annales de la Societe Entomologique de France","Annales de la Societe Entomologique de France","organisms","Taylor & Francis","For-profit","hybrid","Societe Entomologique de France","Society","https://www.tandfonline.com/toc/tase20/current",3190,0.484,"none",NA,NA,NA,NA,NA
"Annales Zoologici","Annales Zoologici","evolution/systematics","BioOne","Non-profit","subscription","Museum and Institute of Zoology / Polish Academy of Sciences","Uni/Gov","https://miiz.waw.pl/en/26-wydawnictwa/annales-zoologici/173-azedt",NA,0.486,"none","Annales Zoologici Fennici","https://openalex.org/S193683933",1124,"0003-455X","0003-455X | 1797-2450"
"Annales Zoologici Fennici","Annales Zoologici Fennici","evolution/systematics","BioOne","Non-profit","hybrid","Finnish Zoological and Botanical Publishing Board","Uni/Gov","http://www.sekj.org/AnnZool.html",600,0.335,"none","Annales Zoologici Fennici","https://openalex.org/S193683933",1124,"0003-455X","0003-455X | 1797-2450"
"Annals of Anatomy - Anatomischer Anzeiger","Annals of Anatomy - Anatomischer Anzeiger","organisms","Elsevier","For-profit","hybrid","Anatomische Gesellschaft","Society","https://www.sciencedirect.com/journal/annals-of-anatomy-anatomischer-anzeiger",3850,NA,"none","Annals of Anatomy - Anatomischer Anzeiger","https://openalex.org/S9336330",3921,"0940-9602","0940-9602 | 1618-0402"
"Annals of Botany","Annals of Botany","organisms","Oxford University Press","University Press","hybrid","The Annals of Botany Company","Non-profit","https://academic.oup.com/aob",2938,1.271,"none","Annals of Botany","https://openalex.org/S2254258",15078,"0305-7364","0305-7364 | 1095-8290"
"Annals of Forest Science","Annals of Forest Science","ecology","Springer Nature","For-profit","OA","INRAE","Uni/Gov","https://annforsci.biomedcentral.com/",1750,0.802,"PCI friendly","Annals of Forest Science","https://openalex.org/S144119614",2197,"1286-4560","1286-4560 | 1297-966X"
"Annals of the Entomological Society of America","Annals of the Entomological Society of America","organisms","Oxford University Press","University Press","hybrid","Entomological Society of America","Society","https://academic.oup.com/aesa",1184,0.492,"none","Annals of the Entomological Society of America","https://openalex.org/S79992667",13761,"0013-8746","0013-8746 | 1938-2901"
"Annals of the New York Academy of Sciences","Annals of the New York Academy of Sciences","general","Wiley","For-profit","hybrid","The New York Academy of Science","Society","https://nyaspubs.onlinelibrary.wiley.com/journal/17496632",4170,NA,"none","Annals of the New York Academy of Sciences","https://openalex.org/S8802318",68650,"0077-8923","0077-8923 | 1749-6632"
"Annual Review of Animal Biosciences","Annual Review of Animal Biosciences","organisms","Annual Reviews","Non-profit","subscription","Annual Reviews","Non-profit","https://www.annualreviews.org/journal/animal",NA,2.62,"none","Annual Review of Animal Biosciences","https://openalex.org/S2491293328",241,"2165-8102","2165-8102 | 2165-8110"
"Annual Review of Ecology Evolution and Systematics","Annual Review of Ecology Evolution and Systematics","evolution/systematics","Annual Reviews","Non-profit","subscription","Annual Reviews","Non-profit","https://www.annualreviews.org/journal/ecolsys",NA,6.234,"none","Annual Review of Ecology Evolution and Systematics","https://openalex.org/S119405978",534,"1543-592X","1543-592X | 1545-2069"
"Annual Review of Entomology","Annual Review of Entomology","organisms","Annual Reviews","Non-profit","diamond_OA","Annual Reviews","Non-profit","https://www.annualreviews.org/journal/ento",NA,6.09,"none","Annual Review of Entomology","https://openalex.org/S92576693",1958,"0066-4170","0066-4170 | 1545-4487"
"AOB Plants","AOB Plants","organisms","Oxford University Press","University Press","OA","The Annals of Botany Company","Non-profit","https://academic.oup.com/aobpla/",1130,0.905,"none","AoB Plants","https://openalex.org/S77453907",973,"2041-2851","2041-2851"
"Applications in Plant Sciences","Applications in Plant Sciences","organisms","Wiley","For-profit","OA","Botanical Society of America","Society","https://bsapubs.onlinelibrary.wiley.com/journal/21680450",1680,0.68,"none","Applications in Plant Sciences","https://openalex.org/S2736862409",986,"2168-0450","2168-0450"
"Applied Vegetation Science","Applied Vegetation Science","ecology","Wiley","For-profit","hybrid","International Association for Vegetation Science","Society","https://onlinelibrary.wiley.com/journal/1654109x",3260,0.74,"none","Applied Vegetation Science","https://openalex.org/S179963793",1619,"1402-2001","1402-2001 | 1654-109X"
"Aquatic Ecosystem Health & Management","Aquatic Ecosystem Health & Management","ecology","Michigan State University Press","University Press","subscription","Aquatic Ecosystem Health and Management Society","Society","https://msupress.org/journals/aquatic-ecosystem-health-and-management/",100,0.336,"none","Aquatic Ecosystem Health & Management","https://openalex.org/S131171954",1503,"1463-4988","1463-4988 | 1539-4077"
