"","Journal","IsDafnee"
"1","Acarologia","ok"
"2","Acta Adriatica","ok"
"3","Acta Amazonica","ok"
"4","Acta Archaeologica","no"
"5","Acta Botanica Brasilica","ok"
"6","Acta Botanica Gallica","ok"
"7","Acta Chiropterologica","ok"
"8","Acta Ethologica","no"
"9","Acta Herpetologica","ok"
"10","Acta Oecologica","no"
"11","Acta Ornithologica","ok"
"12","Acta Palaeobotanica","ok"
"13","Acta Palaeontologica Polonica","ok"
"14","Acta Parasitologica","ok"
"15","Acta Tropica","no"
"16","Adansonia","ok"
"17","ADLFI. Archeologie de la France - Informations","ok"
"18","Advances in Archaeological Practice","ok"
"19","Advances in Ecological Research","no"
"20","Advances in Parasitology","no"
"21","Aeolian Research","ok"
"22","African Archaeological Review","no"
"23","African Entomology","ok"
"24","African Invertebrates","ok"
"25","African Journal of Aquatic Science","ok"
"26","African Journal of Ecology","ok"
"27","African Journal of Range & Forage Science","ok"
"28","African Journal of Wildlife Research","ok"
"29","African Zoology","ok"
"30","Agriculture","no"
"31","Agriculture and Human Values","ok"
"32","Agriculture and Natural Resources","ok"
"33","Agronomy","no"
"34","Agronomy for Sustainable Development","ok"
"35","Agypten und Levante","ok"
"36","Alcheringa","ok"
"37","Algorithmica","no"
"38","Algorithms for Molecular Biology","no"
"39","Alpine and Mediterranean Quaternary","ok"
"40","Alpine Botany","ok"
"41","Alpine Entomology","ok"
"42","Alzheimer's & Dementia","ok"
"43","Ambio","ok"
"44","Ameghiniana","ok"
"45","American Antiquity","ok"
"46","American Fern Journal","ok"
"47","American Historical Review","ok"
"48","American Journal of Archaeology","ok"
"49","American Journal of Biological Anthropology","ok"
"50","American Journal of Botany","ok"
"51","American Journal of Human Biology","ok"
"52","American Journal of Physical Anthropology","ok"
"53","American Journal of Primatology","ok"
"54","American Journal of Tropical Medicine and Hygiene","ok"
"55","American Malacological Bulletin","ok"
"56","American Museum Novitates","ok"
"57","American Naturalist","ok"
"58","Amphibia-Reptilia","ok"
"59","Anais da Academia Brasileira de Ciencias","ok"
"60","Anatolian Studies","ok"
"61","Anatolica","ok"
"62","Anatomical Record","ok"
"63","Ancient Near Eastern Studies","no"
"64","Ancient Society","ok"
"65","Andean Geology","ok"
"66","Animal","ok"
"67","Animal Behaviour","ok"
"68","Animal Biodiversity and Conservation","ok"
"69","Animal Cognition","no"
"70","Animal Conservation","ok"
"71","Animal Microbiome","no"
"72","Animals","no"
"73","Annales Botanici Fennici","ok"
"74","Annales de la Societe Entomologique de France","ok"
"75","Annales de Paleontologie","no"
"76","Annales Zoologici","ok"
"77","Annales Zoologici Fennici","ok"
"78","Annals of Anatomy - Anatomischer Anzeiger","ok"
"79","Annals of Botany","ok"
"80","Annals of Forest Science","ok"
"81","Annals of the Entomological Society of America","ok"
