Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,NATURE PORTFOLIO,1471-0072,1471-0080,CELL BIOLOGY,SCIE,65632,81.3,Q1,8.76,1.37%
Nature Reviews Materials,NAT REV MATER,NATURE PORTFOLIO,2058-8437,2058-8437,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,35616,79.8,Q1,4.35,1.99%
NATURE MEDICINE,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,129261,58.7,Q1,13.63,47.38%
NATURE MEDICINE,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,CELL BIOLOGY,SCIE,129261,58.7,Q1,13.63,47.38%
NATURE,NATURE,NATURE PORTFOLIO,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES,SCIE,912552,50.5,Q1,11.28,34.42%
Nature Reviews Methods Primers,NAT REV METHOD PRIME,SPRINGERNATURE,N/A,2662-8449,MULTIDISCIPLINARY SCIENCES,ESCI,4515,50.1,Q1,8.14,5.97%
Nature Energy,NAT ENERGY,NATURE PORTFOLIO,2058-7546,2058-7546,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,46820,49.7,Q1,7.92,14.62%
Nature Reviews Earth & Environment,NAT REV EARTH ENV,SPRINGERNATURE,N/A,2662-138X,ENVIRONMENTAL SCIENCES,SCIE,8321,49.7,Q1,5.01,0.64%
CANCER CELL,CANCER CELL,CELL PRESS,1535-6108,1878-3686,CELL BIOLOGY,SCIE,52068,48.8,Q1,7.56,78.65%
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,AMER PHYSICAL SOC,0034-6861,1539-0756,"PHYSICS, MULTIDISCIPLINARY",SCIE,57818,45.9,Q1,4.04,10.89%
CELL,CELL,CELL PRESS,0092-8674,1097-4172,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,305198,45.5,Q1,10.01,83.50%
CELL,CELL,CELL PRESS,0092-8674,1097-4172,CELL BIOLOGY,SCIE,305198,45.5,Q1,10.01,83.50%
Nature Reviews Physics,NAT REV PHYS,NATURE PORTFOLIO,N/A,2522-5820,"PHYSICS, MULTIDISCIPLINARY",SCIE,8134,44.8,Q1,2.75,3.52%
SCIENCE,SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES,SCIE,763009,44.7,Q1,9.91,4.53%
eScience,ESCIENCE,KEAI PUBLISHING LTD,N/A,2667-1417,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,3827,42.9,Q1,6.67,97.08%
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,29874,40.8,Q1,4.42,99.57%
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,CELL BIOLOGY,SCIE,29874,40.8,Q1,4.42,99.57%
Joule,JOULE,CELL PRESS,2542-4351,2542-4351,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,38070,38.6,Q1,4.41,74.39%
Nature Nanotechnology,NAT NANOTECHNOL,NATURE PORTFOLIO,1748-3387,1748-3395,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,76128,38.1,Q1,5.15,11.20%
