"journal","journal_clean","oa_journal_name","oa_issn_l","oa_issn"
"Animal Behaviour","Animal Behaviour","Animal Behaviour","0003-3472","0003-3472 | 1095-8282"
"Archives of Sexual Behavior","Archives of Sexual Behavior","Archives of Sexual Behavior","0004-0002","0004-0002 | 1573-2800"
"Behavior Genetics","Behavior Genetics","Behavior Genetics","0001-8244","0001-8244 | 1573-3297"
"Behavioral Ecology","Behavioral Ecology","Behavioral Ecology","1045-2249","1045-2249 | 1465-7279"
"Hormones and Behavior","Hormones and Behavior","Hormones and Behavior","0018-506X","0018-506X | 1095-6867"
"Personality and Individual Differences","Personality and Individual Differences","Personality and Individual Differences","0191-8869","0191-8869 | 1873-3549"
"Sociobiology","Sociobiology","Behavioral Ecology and Sociobiology","0340-5443","0340-5443 | 1432-0762"
"African Journal of Wildlife Research","African Journal of Wildlife Research","African Journal of Wildlife Research","2410-7220","2410-7220 | 2410-8200"
"Animal Conservation","Animal Conservation","Animal Conservation","1367-9430","1367-9430 | 1469-1795"
"Applied Vegetation Science","Applied Vegetation Science","Applied Vegetation Science","1402-2001","1402-2001 | 1654-109X"
"Aquatic Ecosystem Health & Management","Aquatic Ecosystem Health & Management","Aquatic Ecosystem Health & Management","1463-4988","1463-4988 | 1539-4077"
"Bird Conservation International","Bird Conservation International","Bird Conservation International","0959-2709","0959-2709 | 1474-0001"
"Chelonian Conservation and Biology","Chelonian Conservation and Biology","Chelonian Conservation and Biology","1071-8443","1071-8443 | 1943-3956"
"Coastal Management","Coastal Management","Ocean & Coastal Management","0964-5691","0964-5691 | 1873-524X"
"Conservation & Society","Conservation & Society","Conservation and Society","0972-4923","0972-4923 | 0975-3133"
"Conservation Biology","Conservation Biology","Conservation Biology","0888-8892","0888-8892 | 1523-1739"
"Conservation Letters","Conservation Letters","Conservation Letters","1755-263X","1755-263X"
"Conservation Physiology","Conservation Physiology","Conservation Physiology","2051-1434","2051-1434"
"Conservation Science and Practice","Conservation Science and Practice","Conservation Science and Practice","2578-4854","2578-4854"
"Ecological Applications","Ecological Applications","Ecological Applications","1051-0761","1051-0761 | 1939-5582"
"Ecological Solutions & Evidence","Ecological Solutions & Evidence","Ecological Solutions and Evidence","2688-8319","2688-8319"
"International Journal of Wildland Fire","International Journal of Wildland Fire","International Journal of Wildland Fire","1049-8001","1049-8001 | 1448-5516"
"International Zoo Yearbook","International Zoo Yearbook","International Zoo Yearbook","0074-9664","0074-9664 | 1748-1090"
"Invasive Plant Science and Management","Invasive Plant Science and Management","Invasive Plant Science and Management","1939-7291","1939-7291 | 1939-747X"
"Journal of Applied Ecology","Journal of Applied Ecology","Journal of Applied Ecology","0021-8901","0021-8901 | 1365-2664"
"Journal of Coastal Conservation","Journal of Coastal Conservation","Journal of Coastal Conservation","1400-0350","1400-0350 | 1874-7841"
"Journal of Threatened Taxa","Journal of Threatened Taxa","Journal of Threatened Taxa","0974-7893","0974-7893 | 0974-7907"
"Journal of Wildlife Management","Journal of Wildlife Management","Journal of Wildlife Management","0022-541X","0022-541X | 1937-2817"
"Knowledge and Management of Aquatic Ecosystems","Knowledge and Management of Aquatic Ecosystems","Knowledge and Management of Aquatic Ecosystems","1961-9502","1961-9502"
"Management of Biological Invasions","Management of Biological Invasions","Management of Biological Invasions","1989-8649","1989-8649"
"Natural Areas Journal","Natural Areas Journal","Natural Areas Journal","0885-8608","0885-8608 | 2162-4399"
"NeoBiota","NeoBiota","NeoBiota","1314-2488","1314-2488"
"Perspectives in Ecology and Conservation","Perspectives in Ecology and Conservation","Perspectives in Ecology and Conservation","2530-0644","2530-0644"
"Primate Conservation","Primate Conservation","Primate Conservation","0898-6207","0898-6207 | 2162-4232"
"Remote Sensing in Ecology and Conservation","Remote Sensing in Ecology and Conservation","Remote Sensing in Ecology and Conservation","2056-3485","2056-3485"
"Restoration Ecology","Restoration Ecology","Restoration Ecology","1061-2971","1061-2971 | 1526-100X"
"Wildlife Biology","Wildlife Biology","Wildlife Biology","0909-6396","0909-6396 | 1903-220X"
"Wildlife Research","Wildlife Research","Wildlife Research","1035-3712","1035-3712 | 1448-5494"
"Wildlife Society Bulletin","Wildlife Society Bulletin","Wildlife Society Bulletin","0091-7648","0091-7648 | 1938-5463"
"Ambio","Ambio","AMBIO","0044-7447","0044-7447 | 1654-7209"
"Environmental Microbiology","Environmental Microbiology","Applied and Environmental Microbiology","0099-2240","0099-2240 | 1070-6291 | 1098-5336"
"Environmental Microbiology Reports","Environmental Microbiology Reports","Environmental Microbiology Reports","1758-2229","1758-2229"
"Environmental Science and Pollution Research","Environmental Science and Pollution Research","Environmental Science and Pollution Research","0944-1344","0944-1344 | 1614-7499"
"Environmental Toxicology and Chemistry","Environmental Toxicology and Chemistry","Environmental Toxicology and Chemistry","0730-7268","0730-7268 | 1552-8618"
