"","oa_source_id","n_articles","mean_prop_np","mean_prop_fp","mean_prop_nadafnee","mean_prop_np_found","mean_prop_fp_found","sd_prop_np","sd_prop_fp","sd_prop_nadafnee","sd_prop_np_found","sd_prop_fp_found","oa_source_name","journal","publisher_type","business_model","institution_type"
"1","https://openalex.org/S102181007",540,0.3265,0.0179,0.6555,0.9064,0.0603,0.1542,0.0346,0.1506,0.2045,0.1165,"INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY","International Journal of Systematic and Evolutionary Microbiology","np","hybrid","Society"
"2","https://openalex.org/S102998770",55,0.0769,0.3259,0.5972,0.1681,0.6864,0.0565,0.1834,0.2094,0.1181,0.3012,"Journal of Vegetation Science","Journal of Vegetation Science","fp","hybrid","Society"
"3","https://openalex.org/S103035011",117,0.1374,0.0103,0.8523,0.8607,0.0453,0.1014,0.0351,0.1077,0.3128,0.1432,"Journal of General Virology","Journal of General Virology","np","hybrid","Society"
"4","https://openalex.org/S103356783",139,0.196,0.095,0.7091,0.6284,0.2708,0.1201,0.0926,0.1708,0.281,0.2066,"Integrative and Comparative Biology","Integrative and Comparative Biology","np","hybrid","Society"
"5","https://openalex.org/S103871702",17,0.1779,0.166,0.6561,0.4909,0.4503,0.0835,0.083,0.1347,0.1971,0.1905,"Acta Herpetologica","Acta Herpetologica","np","diamond_OA","Society"
"6","https://openalex.org/S104292366",211,0.1101,0.2569,0.633,0.303,0.659,0.073,0.1465,0.1768,0.1883,0.2214,"Landscape Ecology","Landscape Ecology","fp","hybrid","Society"
"7","https://openalex.org/S104414929",108,0.098,0.1508,0.7512,0.366,0.4766,0.0755,0.1415,0.1806,0.2536,0.2862,"Plant Biology","Plant Biology","fp","hybrid","Society"
"8","https://openalex.org/S110937496",42,0.1111,0.1515,0.7375,0.3319,0.4062,0.1451,0.1846,0.2089,0.4087,0.4324,"Annales Botanici Fennici","Annales Botanici Fennici","np","hybrid","Uni/Gov"
"9","https://openalex.org/S11271929",195,0.1122,0.3218,0.566,0.2271,0.6396,0.0725,0.1634,0.2032,0.1441,0.2758,"Journal of Ecology","Journal of Ecology","fp","hybrid","Society"
"10","https://openalex.org/S1131227",244,0.1272,0.2069,0.6659,0.3443,0.5245,0.1138,0.1614,0.207,0.2593,0.3016,"Methods in Ecology and Evolution","Methods in Ecology and Evolution","fp","OA","Society"
"11","https://openalex.org/S114265159",47,0.1594,0.1191,0.7216,0.3305,0.2865,0.1778,0.1267,0.2626,0.3199,0.2918,"The Bryologist","Bryologist","np","hybrid","Society"
"12","https://openalex.org/S114405033",29,0.2222,0.1683,0.6095,0.5436,0.353,0.1122,0.1161,0.1916,0.2675,0.2261,"Acta Chiropterologica","Acta Chiropterologica","np","subscription","Museum"
"13","https://openalex.org/S114498453",58,0.2803,0.2185,0.5012,0.5146,0.4165,0.1925,0.1427,0.2195,0.2515,0.2374,"Waterbirds","Waterbirds","np","subscription","Society"
"14","https://openalex.org/S115310785",104,0.1517,0.1335,0.7148,0.5548,0.4164,0.1164,0.1176,0.1714,0.2886,0.2816,"Canadian Journal of Forest Research","Canadian Journal of Forest Research","np","hybrid","Society"
"15","https://openalex.org/S116585955",25,0.1897,0.1295,0.6808,0.5197,0.3203,0.2069,0.1577,0.242,0.3513,0.3003,"Gayana","Gayana","np","OA","Uni/Gov"
"16","https://openalex.org/S117207475",40,0.1275,0.069,0.8035,0.5424,0.2826,0.1009,0.0771,0.125,0.338,0.2601,"African Entomology","African Entomology","np","OA","Society"
"17","https://openalex.org/S117411352",399,0.0101,0.0532,0.9366,0.1213,0.6606,0.0238,0.0561,0.0626,0.2474,0.4232,"International Journal of Remote Sensing","International Journal of Remote Sensing","fp","hybrid","Society"
"18","https://openalex.org/S118554560",53,0.1136,0.1834,0.703,0.3701,0.611,0.0845,0.1256,0.1617,0.2335,0.2432,"Botany","Botany","fp","hybrid","Society"
"19","https://openalex.org/S119003425",43,0.1224,0.0208,0.8568,0.7046,0.1093,0.164,0.0425,0.1661,0.4136,0.2401,"Comptes Rendus Biologies","Comptes Rendus Biologies","np","diamond_OA","Uni/Gov"
"20","https://openalex.org/S11925254",33,0.1572,0.1242,0.7186,0.3964,0.2702,0.1373,0.1363,0.2279,0.348,0.2789,"Herpetologica","Herpetologica","np","hybrid","Society"
"21","https://openalex.org/S119405978",23,0.2647,0.1808,0.5545,0.6048,0.3952,0.1072,0.1217,0.1472,0.2224,0.2224,"Annual Review of Ecology Evolution and Systematics","Annual Review of Ecology Evolution and Systematics","np","subscription","Non-profit"
"22","https://openalex.org/S119583998",27,0.1396,0.0294,0.831,0.3025,0.1049,0.2814,0.0832,0.2863,0.4483,0.2817,"Adansonia","Adansonia","np","diamond_OA","Museum"
"23","https://openalex.org/S12023821",28,0.2411,0.141,0.6179,0.6182,0.3104,0.1357,0.1469,0.1668,0.2996,0.2588,"Journal of Arachnology","Journal of Arachnology","np","hybrid","Society"
"24","https://openalex.org/S121360315",124,0.2996,0.2194,0.4809,0.5574,0.4103,0.1166,0.097,0.1455,0.172,0.1575,"Behavioral Ecology","Behavioral Ecology","np","hybrid","Society"
"25","https://openalex.org/S121830084",92,0.1609,0.1126,0.7265,0.4407,0.3093,0.1715,0.1196,0.2194,0.3427,0.2903,"BioScience","Bioscience","np","hybrid","Non-profit"
"26","https://openalex.org/S122176235",135,0.2845,0.209,0.5065,0.5333,0.363,0.1386,0.1366,0.2122,0.2523,0.2142,"The American Naturalist","American Naturalist","np","hybrid","Society"
"27","https://openalex.org/S123258744",15,0.193,0.0427,0.7644,0.8053,0.128,0.1213,0.0751,0.139,0.2976,0.2005,"Transactions of the American Entomological Society","Transactions of the American Entomological Society","np","subscription","Society"
"28","https://openalex.org/S125754415",3628,0.1474,0.0198,0.8328,0.8627,0.0662,0.1228,0.0561,0.1468,0.2809,0.1492,"Proceedings of the National Academy of Sciences","Proceedings of the National Academy of Sciences of the USA","np","hybrid","Uni/Gov"
"29","https://openalex.org/S125941916",17,0.1633,0.1515,0.6852,0.4405,0.3831,0.142,0.1274,0.2064,0.3435,0.3274,"Chelonian Conservation and Biology","Chelonian Conservation and Biology","fp","hybrid","Non-profit"
"30","https://openalex.org/S126748203",201,0.1834,0.096,0.7206,0.6635,0.3166,0.0862,0.0857,0.1264,0.2014,0.1833,"Zoological Journal of the Linnean Society","Zoological Journal of the Linnean Society","np","hybrid","Society"
"31","https://openalex.org/S127086887",41,0.0354,0.0528,0.9119,0.3825,0.4224,0.04,0.0686,0.084,0.3712,0.3818,"Helminthologia","Helminthologia","fp","OA","Uni/Gov"
"32","https://openalex.org/S127668553",112,0.0639,0.1777,0.7584,0.2616,0.6759,0.0522,0.1259,0.1569,0.1907,0.25,"Wetlands","Wetlands","fp","hybrid","Society"
"33","https://openalex.org/S128544920",48,0.1042,0.1679,0.7278,0.3233,0.5933,0.1564,0.1834,0.2319,0.267,0.307,"Journal of Limnology","Journal of Limnology","fp","OA","Uni/Gov"
"34","https://openalex.org/S129893106",93,0.1901,0.2148,0.5952,0.4041,0.4776,0.1384,0.129,0.2061,0.2269,0.2455,"Wildlife Research","Wildlife Research","np","hybrid","Uni/Gov"
"35","https://openalex.org/S130157274",39,0.0633,0.1343,0.8024,0.2747,0.6227,0.0711,0.1233,0.1599,0.2407,0.3075,"Tropical Ecology","Tropical Ecology","fp","hybrid","Society"
"36","https://openalex.org/S130567056",101,0.0753,0.0494,0.8753,0.4262,0.257,0.121,0.0786,0.1567,0.4052,0.3318,"Journal of Coastal Research","Journal of Coastal Research","np","Subscription","Society"
"37","https://openalex.org/S130807758",114,0.1176,0.226,0.6563,0.3202,0.5658,0.074,0.1492,0.178,0.1936,0.2564,"Coral Reefs","Coral Reefs","fp","hybrid","Society"
