"oa_source_id","prop_np_mean","prop_np_sd","prop_fp_mean","prop_fp_sd","prop_np_found_mean","prop_np_found_sd","prop_fp_found_mean","prop_fp_found_sd","prop_nadafnee_mean","prop_nadafnee_sd","oa_source_name","journal","publisher_type","business_model","institution_type"
"https://openalex.org/S102181007",0.341,0.1195,0.019,0.0353,0.9418,0.1081,0.0582,0.1081,0.64,0.1131,"INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY","International Journal of Systematic and Evolutionary Microbiology","Non-profit","hybrid","Society"
"https://openalex.org/S102998770",0.09,0.0505,0.3813,0.1337,0.1968,0.1031,0.8032,0.1031,0.5287,0.1359,"Journal of Vegetation Science","Journal of Vegetation Science","For-profit","hybrid","Society"
"https://openalex.org/S103035011",0.1624,0.0612,0.0105,0.024,0.9492,0.1116,0.0508,0.1116,0.8272,0.0642,"Journal of General Virology","Journal of General Virology","Non-profit","hybrid","Society"
"https://openalex.org/S103356783",0.2305,0.1003,0.1092,0.0849,0.6975,0.1887,0.3025,0.1887,0.6603,0.1314,"Integrative and Comparative Biology","Integrative and Comparative Biology","Non-profit","hybrid","Society"
"https://openalex.org/S103871702",0.189,0.072,0.1764,0.0734,0.5216,0.1561,0.4784,0.1561,0.6346,0.1048,"Acta Herpetologica","Acta Herpetologica","Non-profit","diamond_OA","Society"
"https://openalex.org/S104292366",0.1197,0.0696,0.2784,0.1326,0.3086,0.1615,0.6914,0.1615,0.6019,0.1515,"Landscape Ecology","Landscape Ecology","For-profit","hybrid","Society"
"https://openalex.org/S104414929",0.1224,0.0662,0.1886,0.1375,0.4417,0.2033,0.5583,0.2033,0.689,0.1532,"Plant Biology","Plant Biology","For-profit","hybrid","Society"
"https://openalex.org/S110937496",0.1847,0.225,0.2135,0.1694,0.4286,0.5051,0.5714,0.5051,0.6018,0.0555,"Annales Botanici Fennici","Annales Botanici Fennici","Non-profit","hybrid","Uni/Gov"
"https://openalex.org/S11271929",0.1295,0.0618,0.3713,0.1111,0.262,0.1215,0.738,0.1215,0.4992,0.1184,"Journal of Ecology","Journal of Ecology","For-profit","hybrid","Society"
"https://openalex.org/S1131227",0.1584,0.1102,0.2582,0.1455,0.3946,0.224,0.6054,0.224,0.5834,0.155,"Methods in Ecology and Evolution","Methods in Ecology and Evolution","For-profit","OA","Society"
"https://openalex.org/S114265159",0.2515,0.1481,0.1926,0.0867,0.5499,0.1782,0.45,0.1782,0.5559,0.1525,"The Bryologist","Bryologist","Non-profit","hybrid","Society"
"https://openalex.org/S114405033",0.2585,0.0812,0.2034,0.0946,0.5735,0.1718,0.4265,0.1718,0.5382,0.1148,"Acta Chiropterologica","Acta Chiropterologica","Non-profit","subscription","Museum"
"https://openalex.org/S114498453",0.3056,0.1827,0.2601,0.126,0.5253,0.2087,0.4747,0.2087,0.4343,0.1607,"Waterbirds","Waterbirds","Non-profit","subscription","Society"
"https://openalex.org/S115310785",0.1751,0.1052,0.1668,0.1132,0.5333,0.2355,0.4667,0.2355,0.658,0.142,"Canadian Journal of Forest Research","Canadian Journal of Forest Research","Non-profit","hybrid","Society"
"https://openalex.org/S116585955",0.185,0.0604,0.1698,0.1709,0.5828,0.2374,0.4172,0.2374,0.6452,0.1473,"Gayana","Gayana","Non-profit","OA","Uni/Gov"
"https://openalex.org/S117207475",0.1643,0.0902,0.0998,0.0791,0.6232,0.2354,0.3768,0.2354,0.736,0.0882,"African Entomology","African Entomology","Non-profit","OA","Society"
"https://openalex.org/S117411352",0.0258,0.0398,0.1219,0.0685,0.1807,0.2146,0.8193,0.2146,0.8524,0.0715,"International Journal of Remote Sensing","International Journal of Remote Sensing","For-profit","hybrid","Society"
"https://openalex.org/S118554560",0.1291,0.0804,0.2043,0.1205,0.3973,0.1952,0.6027,0.1952,0.6666,0.1467,"Botany","Botany","For-profit","hybrid","Society"
"https://openalex.org/S119003425",0.1721,0.0558,0.0469,0.0308,0.78,0.1494,0.22,0.1494,0.7809,0.0571,"Comptes Rendus Biologies","Comptes Rendus Biologies","Non-profit","diamond_OA","Uni/Gov"
"https://openalex.org/S11925254",0.24,0.1055,0.2202,0.1203,0.5381,0.2359,0.4619,0.2359,0.5398,0.1119,"Herpetologica","Herpetologica","Non-profit","hybrid","Society"
"https://openalex.org/S119405978",0.2647,0.1072,0.1808,0.1217,0.6048,0.2224,0.3952,0.2224,0.5545,0.1472,"Annual Review of Ecology Evolution and Systematics","Annual Review of Ecology Evolution and Systematics","Non-profit","subscription","Non-profit"
"https://openalex.org/S12023821",0.3001,0.0953,0.1282,0.0868,0.7121,0.1681,0.2879,0.1681,0.5716,0.1129,"Journal of Arachnology","Journal of Arachnology","Non-profit","hybrid","Society"
"https://openalex.org/S121360315",0.3052,0.0932,0.2286,0.0876,0.5724,0.1357,0.4276,0.1357,0.4661,0.109,"Behavioral Ecology","Behavioral Ecology","Non-profit","hybrid","Society"
"https://openalex.org/S121830084",0.206,0.1337,0.1717,0.1048,0.5463,0.2081,0.4537,0.2081,0.6223,0.151,"BioScience","Bioscience","Non-profit","hybrid","Non-profit"
"https://openalex.org/S122176235",0.3174,0.1045,0.2332,0.123,0.595,0.1846,0.405,0.1846,0.4494,0.1363,"The American Naturalist","American Naturalist","Non-profit","hybrid","Society"
"https://openalex.org/S123258744",0.1988,0.0345,0.0668,0.0958,0.8155,0.2204,0.1845,0.2204,0.7344,0.1267,"Transactions of the American Entomological Society","Transactions of the American Entomological Society","Non-profit","subscription","Society"
"https://openalex.org/S125754415",0.1874,0.0905,0.033,0.0701,0.9021,0.1653,0.0979,0.1653,0.7796,0.1279,"Proceedings of the National Academy of Sciences","Proceedings of the National Academy of Sciences of the USA","Non-profit","hybrid","Uni/Gov"
"https://openalex.org/S125941916",0.2061,0.1325,0.2318,0.0922,0.4404,0.2521,0.5596,0.2521,0.5621,0.1257,"Chelonian Conservation and Biology","Chelonian Conservation and Biology","For-profit","hybrid","Non-profit"
"https://openalex.org/S126748203",0.1957,0.0808,0.1003,0.0754,0.6726,0.1684,0.3274,0.1684,0.704,0.1086,"Zoological Journal of the Linnean Society","Zoological Journal of the Linnean Society","Non-profit","hybrid","Society"
"https://openalex.org/S127086887",0.0828,0.0372,0.1035,0.0738,0.4913,0.2807,0.5087,0.2807,0.8136,0.0571,"Helminthologia","Helminthologia","For-profit","OA","Uni/Gov"
"https://openalex.org/S127668553",0.0743,0.0523,0.217,0.1126,0.2588,0.1501,0.7412,0.1501,0.7087,0.138,"Wetlands","Wetlands","For-profit","hybrid","Society"
"https://openalex.org/S128544920",0.0766,0.0465,0.249,0.2266,0.2965,0.1946,0.7035,0.1946,0.6745,0.2213,"Journal of Limnology","Journal of Limnology","For-profit","OA","Uni/Gov"
"https://openalex.org/S129893106",0.2229,0.1237,0.2498,0.1055,0.4694,0.1706,0.5306,0.1706,0.5273,0.1369,"Wildlife Research","Wildlife Research","Non-profit","hybrid","Uni/Gov"
"https://openalex.org/S130157274",0.0902,0.0776,0.1902,0.1284,0.3245,0.184,0.6755,0.184,0.7197,0.1554,"Tropical Ecology","Tropical Ecology","For-profit","hybrid","Society"
"https://openalex.org/S130567056",0.1727,0.1757,0.1389,0.0895,0.5123,0.2394,0.4877,0.2394,0.6884,0.1603,"Journal of Coastal Research","Journal of Coastal Research","Non-profit","Subscription","Society"
"https://openalex.org/S130807758",0.1341,0.0633,0.2537,0.1082,0.3578,0.155,0.6422,0.155,0.6122,0.1202,"Coral Reefs","Coral Reefs","For-profit","hybrid","Society"
"https://openalex.org/S131039555",0.1462,0.0781,0.0099,0.0131,0.937,0.0726,0.063,0.0726,0.8439,0.0786,"Virologie","Virologie","For-profit","hybrid","Society"
"https://openalex.org/S131171954",0.1945,0.1211,0.1147,0.0657,0.6014,0.2361,0.3986,0.2361,0.6908,0.1235,"Aquatic Ecosystem Health & Management","Aquatic Ecosystem Health & Management","Non-profit","subscription","Society"
"https://openalex.org/S13255006",0.2053,0.0991,0.3073,0.1207,0.4012,0.1821,0.5988,0.1821,0.4874,0.1162,"Ornis Fennica","Ornis Fennica","Non-profit","diamond_OA","Non-profit"
"https://openalex.org/S133530468",0.1872,0.0991,0.2217,0.1044,0.4628,0.1984,0.5372,0.1984,0.591,0.1282,"Conservation Letters","Conservation Letters","For-profit","OA","Society"
"https://openalex.org/S1336409049",0.1537,0.0689,0.0143,0.0401,0.9414,0.1229,0.0586,0.1229,0.832,0.0861,"eLife","eLife","Non-profit","OA","Non-profit"
"https://openalex.org/S133660675",0.0886,0.0524,0.223,0.0833,0.2951,0.1623,0.7049,0.1623,0.6884,0.0886,"European Journal of Phycology","European Journal of Phycology","For-profit","hybrid","Society"
"https://openalex.org/S134698528",0.178,0.0761,0.2322,0.1318,0.4623,0.1821,0.5377,0.1821,0.5898,0.1417,"Journal of Chemical Ecology","Journal of Chemical Ecology","For-profit","hybrid","Society"
"https://openalex.org/S135316137",0.1286,0.0905,0.3473,0.1953,0.2868,0.1985,0.7132,0.1985,0.5242,0.179,"Wildlife Society Bulletin","Wildlife Society Bulletin","For-profit","hybrid","Society"
"https://openalex.org/S135734010",0.0518,0.0503,0.2323,0.1122,0.1884,0.1658,0.8116,0.1658,0.7159,0.1161,"Weed Research","Weed Research","For-profit","hybrid","Society"
"https://openalex.org/S136710263",0.0593,0.0606,0.21,0.1539,0.2523,0.219,0.7477,0.219,0.7307,0.1437,"Environmental Toxicology and Chemistry","Environmental Toxicology and Chemistry","For-profit","hybrid","Society"
"https://openalex.org/S137961447",0.1539,0.0554,0.0501,0.035,0.7547,0.1608,0.2453,0.1608,0.796,0.0655,"Insect Molecular Biology","Insect Molecular Biology","For-profit","hybrid","Society"
"https://openalex.org/S138169916",0.2923,0.106,0.1576,0.0808,0.6567,0.1415,0.3433,0.1415,0.5501,0.1463,"Journal of Evolutionary Biology","Journal of Evolutionary Biology","For-profit","hybrid","Society"
"https://openalex.org/S139016016",0.1192,0.0625,0.3003,0.1106,0.2899,0.1243,0.7101,0.1243,0.5804,0.126,"International Journal of Primatology","International Journal of Primatology","For-profit","hybrid","Society"
"https://openalex.org/S139876745",0.1187,0.091,0.1898,0.1245,0.4138,0.3252,0.5862,0.3252,0.6915,0.0717,"Scientia Marina","Scientia Marina","Non-profit","diamond_OA","Uni/Gov"
"https://openalex.org/S14053799",0.113,0.0716,0.3005,0.1341,0.2838,0.1693,0.7162,0.1693,0.5864,0.1311,"African Journal of Ecology","African Journal of Ecology","For-profit","hybrid","Society"
