"oa_source_id","prop_np_mean","prop_np_sd","prop_fp_mean","prop_fp_sd","prop_np_found_mean","prop_np_found_sd","prop_fp_found_mean","prop_fp_found_sd","prop_nadafnee_mean","prop_nadafnee_sd","oa_source_name","journal","publisher_type","business_model","institution_type"
"https://openalex.org/S102181007",0.3275,0.1318,0.0189,0.0346,0.9357,0.1194,0.0643,0.1194,0.6536,0.126,"INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY","International Journal of Systematic and Evolutionary Microbiology","np","hybrid","Society"
"https://openalex.org/S102998770",0.09,0.0505,0.3813,0.1337,0.1968,0.1031,0.8032,0.1031,0.5287,0.1359,"Journal of Vegetation Science","Journal of Vegetation Science","fp","hybrid","Society"
"https://openalex.org/S103035011",0.1404,0.0965,0.0094,0.0317,0.9038,0.2501,0.0401,0.1169,0.8502,0.1043,"Journal of General Virology","Journal of General Virology","np","hybrid","Society"
"https://openalex.org/S103356783",0.2159,0.1077,0.1016,0.085,0.6962,0.2028,0.2958,0.1947,0.6825,0.1455,"Integrative and Comparative Biology","Integrative and Comparative Biology","np","hybrid","Society"
"https://openalex.org/S103871702",0.189,0.072,0.1764,0.0734,0.5216,0.1561,0.4784,0.1561,0.6346,0.1048,"Acta Herpetologica","Acta Herpetologica","np","diamond_OA","Society"
"https://openalex.org/S104292366",0.1138,0.0713,0.2633,0.1412,0.3134,0.1828,0.6768,0.1923,0.6229,0.1678,"Landscape Ecology","Landscape Ecology","fp","hybrid","Society"
"https://openalex.org/S104414929",0.1163,0.0679,0.179,0.1367,0.4343,0.2156,0.5657,0.2156,0.7047,0.1578,"Plant Biology","Plant Biology","fp","hybrid","Society"
"https://openalex.org/S110937496",0.1491,0.1519,0.1806,0.1468,0.422,0.3745,0.528,0.3819,0.6703,0.1759,"Annales Botanici Fennici","Annales Botanici Fennici","np","hybrid","Uni/Gov"
"https://openalex.org/S11271929",0.1295,0.0618,0.3713,0.1111,0.262,0.1215,0.738,0.1215,0.4992,0.1184,"Journal of Ecology","Journal of Ecology","fp","hybrid","Society"
"https://openalex.org/S1131227",0.1455,0.1104,0.2362,0.1506,0.3948,0.2398,0.6005,0.2418,0.6183,0.1742,"Methods in Ecology and Evolution","Methods in Ecology and Evolution","fp","OA","Society"
"https://openalex.org/S114265159",0.2503,0.1528,0.1925,0.105,0.5346,0.2043,0.4654,0.2043,0.5573,0.1824,"The Bryologist","Bryologist","np","hybrid","Society"
"https://openalex.org/S114405033",0.2479,0.0865,0.1877,0.1063,0.6063,0.2015,0.3937,0.2015,0.5644,0.144,"Acta Chiropterologica","Acta Chiropterologica","np","subscription","Museum"
"https://openalex.org/S114498453",0.2887,0.1804,0.2347,0.1343,0.5342,0.2196,0.4473,0.2158,0.4766,0.1912,"Waterbirds","Waterbirds","np","subscription","Society"
"https://openalex.org/S115310785",0.1513,0.1108,0.1374,0.117,0.5613,0.2786,0.4288,0.2762,0.7113,0.1678,"Canadian Journal of Forest Research","Canadian Journal of Forest Research","np","hybrid","Society"
"https://openalex.org/S116585955",0.1711,0.0651,0.1473,0.1533,0.6173,0.2485,0.3827,0.2485,0.6816,0.1531,"Gayana","Gayana","np","OA","Uni/Gov"
"https://openalex.org/S117207475",0.1469,0.0922,0.0837,0.0773,0.6271,0.2649,0.3426,0.2475,0.7694,0.1025,"African Entomology","African Entomology","np","OA","Society"
"https://openalex.org/S117411352",0.0103,0.0239,0.0539,0.0561,0.1228,0.2486,0.669,0.4192,0.9358,0.0626,"International Journal of Remote Sensing","International Journal of Remote Sensing","fp","hybrid","Society"
"https://openalex.org/S118554560",0.1158,0.0837,0.1869,0.1241,0.3772,0.2299,0.6228,0.2299,0.6973,0.1578,"Botany","Botany","fp","hybrid","Society"
"https://openalex.org/S119003425",0.1254,0.0853,0.0263,0.0464,0.8618,0.2631,0.1382,0.2631,0.8483,0.0883,"Comptes Rendus Biologies","Comptes Rendus Biologies","np","diamond_OA","Uni/Gov"
"https://openalex.org/S11925254",0.2358,0.0965,0.1863,0.1272,0.5946,0.2472,0.4054,0.2472,0.5779,0.1303,"Herpetologica","Herpetologica","np","hybrid","Society"
"https://openalex.org/S119405978",0.2647,0.1072,0.1808,0.1217,0.6048,0.2224,0.3952,0.2224,0.5545,0.1472,"Annual Review of Ecology Evolution and Systematics","Annual Review of Ecology Evolution and Systematics","np","subscription","Non-profit"
"https://openalex.org/S119583998",0.1144,0.1286,0.0767,0.1067,0.5278,0.4524,0.3056,0.4002,0.8089,0.1727,"Adansonia","Adansonia","np","diamond_OA","Museum"
"https://openalex.org/S12023821",0.2597,0.122,0.1262,0.106,0.6657,0.253,0.2958,0.2218,0.6141,0.1447,"Journal of Arachnology","Journal of Arachnology","np","hybrid","Society"
"https://openalex.org/S121360315",0.3096,0.1045,0.2267,0.0897,0.576,0.1407,0.424,0.1407,0.4636,0.112,"Behavioral Ecology","Behavioral Ecology","np","hybrid","Society"
"https://openalex.org/S121830084",0.2,0.1381,0.1501,0.1158,0.5731,0.2683,0.4124,0.2638,0.6498,0.1628,"BioScience","Bioscience","np","hybrid","Non-profit"
"https://openalex.org/S122176235",0.3174,0.1045,0.2332,0.123,0.595,0.1846,0.405,0.1846,0.4494,0.1363,"The American Naturalist","American Naturalist","np","hybrid","Society"
"https://openalex.org/S123258744",0.2068,0.1131,0.0457,0.077,0.8628,0.2048,0.1372,0.2048,0.7475,0.1274,"Transactions of the American Entomological Society","Transactions of the American Entomological Society","np","subscription","Society"
"https://openalex.org/S125754415",0.1475,0.1012,0.0208,0.0567,0.9049,0.2097,0.0704,0.1527,0.8317,0.1298,"Proceedings of the National Academy of Sciences","Proceedings of the National Academy of Sciences of the USA","np","hybrid","Uni/Gov"
"https://openalex.org/S125941916",0.1745,0.1355,0.184,0.1164,0.4634,0.3012,0.4652,0.3014,0.6415,0.1874,"Chelonian Conservation and Biology","Chelonian Conservation and Biology","fp","hybrid","Non-profit"
"https://openalex.org/S126748203",0.1871,0.083,0.0979,0.0854,0.6769,0.1795,0.3231,0.1795,0.715,0.1212,"Zoological Journal of the Linnean Society","Zoological Journal of the Linnean Society","np","hybrid","Society"
"https://openalex.org/S127086887",0.0354,0.04,0.0528,0.0686,0.3825,0.3712,0.4224,0.3818,0.9119,0.084,"Helminthologia","Helminthologia","fp","OA","Uni/Gov"
"https://openalex.org/S127668553",0.0676,0.0513,0.1877,0.1219,0.2764,0.1853,0.7141,0.1962,0.7447,0.15,"Wetlands","Wetlands","fp","hybrid","Society"
"https://openalex.org/S128544920",0.0815,0.0788,0.1758,0.1877,0.3144,0.2496,0.6391,0.2789,0.7427,0.2033,"Journal of Limnology","Journal of Limnology","fp","OA","Uni/Gov"
"https://openalex.org/S129893106",0.2156,0.1273,0.2436,0.1086,0.4583,0.1826,0.5417,0.1826,0.5409,0.1517,"Wildlife Research","Wildlife Research","np","hybrid","Uni/Gov"
"https://openalex.org/S130157274",0.0649,0.0713,0.1378,0.123,0.282,0.2396,0.6391,0.2939,0.7972,0.1587,"Tropical Ecology","Tropical Ecology","fp","hybrid","Society"
"https://openalex.org/S130567056",0.0874,0.1263,0.0574,0.082,0.4947,0.3958,0.2984,0.3399,0.8552,0.1601,"Journal of Coastal Research","Journal of Coastal Research","np","Subscription","Society"
"https://openalex.org/S130807758",0.1341,0.0635,0.2477,0.1103,0.365,0.162,0.635,0.162,0.6182,0.1218,"Coral Reefs","Coral Reefs","fp","hybrid","Society"
"https://openalex.org/S131039555",0.1263,0.0756,0.0074,0.012,0.9528,0.0679,0.0472,0.0679,0.8662,0.0783,"Virologie","Virologie","fp","hybrid","Society"
"https://openalex.org/S131171954",0.1124,0.1005,0.0745,0.0748,0.5948,0.308,0.3767,0.2974,0.813,0.1398,"Aquatic Ecosystem Health & Management","Aquatic Ecosystem Health & Management","np","subscription","Society"
"https://openalex.org/S13255006",0.2053,0.0991,0.3073,0.1207,0.4012,0.1821,0.5988,0.1821,0.4874,0.1162,"Ornis Fennica","Ornis Fennica","np","diamond_OA","Non-profit"
"https://openalex.org/S133530468",0.1674,0.1027,0.2038,0.1069,0.4495,0.2157,0.5505,0.2157,0.6288,0.1495,"Conservation Letters","Conservation Letters","fp","OA","Society"
"https://openalex.org/S1336409049",0.1296,0.08,0.0111,0.0353,0.9269,0.1833,0.0528,0.1257,0.8592,0.0941,"eLife","eLife","np","OA","Non-profit"
"https://openalex.org/S133660675",0.0804,0.0534,0.1961,0.1027,0.2974,0.1774,0.655,0.2221,0.7235,0.1216,"European Journal of Phycology","European Journal of Phycology","fp","hybrid","Society"
"https://openalex.org/S134698528",0.1686,0.0822,0.2173,0.1364,0.4576,0.198,0.5268,0.2008,0.6141,0.1591,"Journal of Chemical Ecology","Journal of Chemical Ecology","fp","hybrid","Society"
"https://openalex.org/S135316137",0.1224,0.09,0.3298,0.1996,0.2924,0.2016,0.7076,0.2016,0.5478,0.1915,"Wildlife Society Bulletin","Wildlife Society Bulletin","fp","hybrid","Society"
"https://openalex.org/S135734010",0.0372,0.0473,0.1749,0.1176,0.1583,0.191,0.8417,0.191,0.7879,0.1318,"Weed Research","Weed Research","fp","hybrid","Society"
"https://openalex.org/S136710263",0.0497,0.0584,0.172,0.1487,0.2479,0.2441,0.7259,0.2686,0.7783,0.1499,"Environmental Toxicology and Chemistry","Environmental Toxicology and Chemistry","fp","hybrid","Society"
"https://openalex.org/S137961447",0.1403,0.0621,0.0459,0.0347,0.7511,0.1752,0.2489,0.1752,0.8138,0.0756,"Insect Molecular Biology","Insect Molecular Biology","fp","hybrid","Society"
"https://openalex.org/S138169916",0.285,0.1098,0.1531,0.0817,0.6563,0.145,0.3437,0.145,0.5619,0.1525,"Journal of Evolutionary Biology","Journal of Evolutionary Biology","fp","hybrid","Society"
"https://openalex.org/S139016016",0.1156,0.0641,0.2898,0.1208,0.2884,0.1317,0.6924,0.159,0.5945,0.143,"International Journal of Primatology","International Journal of Primatology","fp","hybrid","Society"
"https://openalex.org/S139876745",0.0741,0.0883,0.1156,0.1308,0.283,0.3194,0.3836,0.3722,0.8102,0.1592,"Scientia Marina","Scientia Marina","np","diamond_OA","Uni/Gov"
"https://openalex.org/S14053799",0.1047,0.0729,0.2685,0.147,0.2973,0.2071,0.6819,0.2257,0.6268,0.1578,"African Journal of Ecology","African Journal of Ecology","fp","hybrid","Society"
"https://openalex.org/S140906811",0.0784,0.0542,0.2684,0.1601,0.2421,0.1689,0.7393,0.1947,0.6532,0.1753,"Phycologia","Phycologia","fp","hybrid","Society"
"https://openalex.org/S141356220",0.1613,0.0907,0.0785,0.0875,0.683,0.245,0.3042,0.2347,0.7602,0.1308,"Journal of Crustacean Biology","Journal of Crustacean Biology","np","hybrid","Society"
"https://openalex.org/S141665667",0.1402,0.1087,0.0514,0.0836,0.6786,0.4112,0.2038,0.3313,0.8084,0.1312,"Zoosystema","Zoosystema","np","diamond_OA","Museum"
"https://openalex.org/S142246141",0.1043,0.0952,0.1048,0.1294,0.4789,0.3574,0.4124,0.3469,0.791,0.1825,"Acta Amazonica","Acta Amazonica","np","diamond_OA","Uni/Gov"
"https://openalex.org/S142676987",0.3394,0.1701,0.2185,0.1234,0.6124,0.1993,0.3876,0.1993,0.4421,0.1929,"Journal of Raptor Research","Journal of Raptor Research","np","hybrid","Society"
"https://openalex.org/S144119614",0.0944,0.0662,0.1443,0.1238,0.4422,0.2463,0.5578,0.2463,0.7614,0.1448,"Annals of Forest Science","Annals of Forest Science","fp","OA","Uni/Gov"
"https://openalex.org/S144146645",0.1483,0.0731,0.2852,0.1072,0.3536,0.1792,0.6464,0.1792,0.5665,0.1038,"Animal Conservation","Animal Conservation","fp","hybrid","Society"
"https://openalex.org/S144797041",0.1428,0.0859,0.2052,0.1344,0.4399,0.2554,0.544,0.2587,0.652,0.1634,"Frontiers in Ecology and the Environment","Frontiers in Ecology and the Environment","fp","hybrid","Society"
"https://openalex.org/S146329739",0.2032,0.12,0.182,0.1131,0.5371,0.2089,0.4629,0.2089,0.6149,0.1657,"Canadian Journal of Zoology","Canadian Journal of Zoology","np","hybrid","Society"
"https://openalex.org/S146875840",0.1155,0.0904,0.2067,0.1351,0.3717,0.2684,0.6283,0.2684,0.6778,0.1353,"Fottea","Fottea","np","diamond_OA","Society"
"https://openalex.org/S146976949",0.2366,0.1397,0.0552,0.061,0.767,0.2631,0.1913,0.2124,0.7082,0.1489,"Journal of Economic Entomology","Journal of Economic Entomology","np","hybrid","Society"
"https://openalex.org/S148307540",0.107,0.0685,0.0629,0.0635,0.6594,0.243,0.3331,0.2378,0.8301,0.1024,"Ecology and Society","Ecology and Society","np","OA","Society"
"https://openalex.org/S149218730",0.1382,0.068,0.1296,0.0717,0.5257,0.1863,0.4743,0.1863,0.7322,0.1048,"The ISME Journal","ISME Journal","fp","hybrid","Society"
"https://openalex.org/S149394164",0.0717,0.0461,0.1527,0.096,0.3255,0.2225,0.6745,0.2225,0.7756,0.1211,"Knowledge and Management of Aquatic Ecosystems","Knowledge and Management of Aquatic Ecosystems","fp","diamond_OA","Uni/Gov"
